RK,Team,ABR,Home_Games,Home_Total,Home_Avg,Road_Games,Road_Avg,Overall_Games,Overall_Avg
1,Los Angeles Dodgers,LA,81,2804693,34625,81,25163,162,29894
2,Atlanta Braves,ATl,78,2300247,29490,78,17968,156,23729
3,San Diego Padres,SD,81,2191950,27061,79,22140,160,24631
4,St. Louis Cardinals,STL,80,2102530,26281,81,20518,161,23382
5,Texas Rangers,TEX,81,2110258,26052,80,14444,161,20284
6,Houston Astros,HOU,81,2068509,25537,81,17947,162,21742
7,Colorado Rockies,COL,78,1938645,24854,79,20252,157,22539
8,New York Yankees,NYY,80,1959854,24498,81,20612,161,22543
9,Chicago Cubs,CHC,81,1978934,24431,81,22637,162,23534
10,Milwaukee Brewers,MIL,81,1824282,22522,81,19548,162,21035
11,Boston Red Sox,BOS,81,1725323,21300,80,19693,161,20501
12,San Francisco Giants,SF,81,1679484,20734,80,22467,161,21595
13,New York Mets,NYM,72,1484665,20620,79,20723,151,20674
14,Chicago White Sox,CWS,78,1596385,20466,80,16576,158,18496
15,Philadelphia Phillies,PHI,79,1515890,19188,79,19985,158,19587
16,Los Angeles Angels,LAA,81,1512033,18667,81,19075,162,18871
17,Cincinnati Reds,CIN,81,1505024,18580,81,19527,162,19054
18,Washington Nationals,WAS,80,1465543,18319,78,17401,158,17866
19,Minnesota Twins,MIN,80,1310199,16377,79,17219,159,16795
20,Seattle Mariners,SEA,81,1215985,15012,79,16869,160,15929
21,Cleveland Guardians,CLE,77,1114368,14472,80,16264,157,15385
22,Kansas City Royals,KC,81,1159613,14316,80,16222,161,15263
23,Detroit Tigers,DET,81,1102623,13612,79,16359,160,14968
24,Arizona Diamondbacks,ARI,81,1043010,12876,80,20081,161,16456
25,Pittsburgh Pirates,PIT,81,859498,10611,80,20719,161,15633
26,Baltimore Orioles,BAL,78,793229,10169,80,16390,158,13319
27,Toronto Blue Jays,TOR,80,809557,10119,78,16398,158,13219
28,Tampa Bay Rays,TB,80,761072,9513,81,16339,161,12947
29,Oakland Athletics,OAK,80,701430,8767,81,19085,161,13958
30,Miami Marlins,MIA,81,642617,7933,79,18015,160,12911
