RK,Team,Roster,Active,Injured Reserve,Total
1,Los Angeles Dodgers,20,207804334,10390500,218194834
2,New York Yankees,23,150341675,30800000,181141675
3,Boston Red Sox,22,111818044,29550000,141368044
4,Los Angeles Angels,22,171871000,1700500,173571500
5,Philadelphia Phillies,22,158931500,727500,159659000
6,San Diego Padres,19,155211800,14974800,170186600
7,Houston Astros,17,123549067,39219500,162768567
8,New York Mets,22,130292276,25625000,155917276
9,Washington Nationals,22,130382528,8000000,138382528
10,Chicago Cubs,22,139172500,2843000,142015500
11,Toronto Blue Jays,12,83458333,45500000,128958333
12,St. Louis Cardinals,14,97951500,22345700,120297200
13,Atlanta Braves,22,127467000,2800000,130267000
14,San Francisco Giants,22,120111000,3800000,123911000
15,Chicago White Sox,16,113900000,5737500,119637500
16,Minnesota Twins,22,120253834,0,120253834
17,Cincinnati Reds,14,89624000,21437500,111061500
18,Colorado Rockies,15,72755000,9025000,81780000
19,Arizona Diamondbacks,14,67461400,10357500,77818900
20,Kansas City Royals,21,83183900,2525000,85708900
21,Milwaukee Brewers,22,80994366,0,80994366
22,Texas Rangers,14,40298000,24430500,64728500
23,Detroit Tigers,21,76811700,586900,77398600
24,Oakland Athletics,22,67515000,6500000,74015000
25,Seattle Mariners,16,62378500,2175000,64553500
26,Tampa Bay Rays,18,52819900,4987800,57807700
27,Miami Marlins,14,48175000,0,48175000
28,Cleveland Indians,18,43169600,0,43169600
29,Baltimore Orioles,10,14959200,17000000,31959200
30,Pittsburgh Pirates,12,31355000,2050000,33405000
