Team,2021,2020,2019
New York Yankees,6.0,5.3,5.0
Los Angeles Dodgers,4.08,3.6,3.4
Boston Red Sox,3.9,3.5,3.3
Chicago Cubs,3.8,3.4,3.2
San Francisco Giants,3.5,3.2,3.1
New York Mets,2.65,2.5,2.4
St. Louis Cardinals,2.45,2.2,2.2
Philadelphia Phillies,2.3,2.1,2.0
Los Angeles Angels,2.2,2.0,2.0
Atlanta Braves,2.1,1.9,1.8
Texas Rangers,2.05,1.8,1.8
Washington Nationals,2.0,1.9,1.9
Houston Astros,1.98,1.9,1.9
Toronto Blue Jays,1.78,1.7,1.6
Chicago White Sox,1.76,1.7,1.7
Seattle Mariners,1.7,1.6,1.6
San Diego Padres,1.58,1.5,1.5
Detroit Tigers,1.4,1.3,1.3
Minnesota Twins,1.39,1.3,1.3
Colorado Rockies,1.38,1.3,1.3
Arizona Diamondbacks,1.38,1.3,1.3
Baltimore Orioles,1.38,1.4,1.4
Pittsburgh Pirates,1.32,1.3,1.3
Cleveland Guardians,1.3,1.2,1.2
Milwaukee Brewers,1.28,1.2,1.2
Cincinnati Reds,1.19,1.1,1.1
Oakland Athletics,1.18,1.1,1.1
Kansas City Royals,1.11,1.1,1.0
Tampa Bay Rays,1.1,1.1,1.1
Miami Marlins,0.99,0.99,0.98
